Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Syed Abid Ali,5,3,31.0,70.45,70.0,6.0,1.0,1.0,0.0,93
Jasprit Bumrah,89,26,7.58,57.23,16.0,10.0,1.0,0.0,0.0,91
Ajay Ratra,12,8,12.85,70.86,30.0,8.0,0.0,0.0,0.0,90
Vakkadai Biksheswaran Chandrasekhar,7,7,12.57,54.32,53.0,11.0,0.0,1.0,0.0,88
Vinay Kumar,31,13,9.55,58.9,27.0,5.0,2.0,0.0,0.0,86
Mayank Agarwal,5,5,17.2,103.61,32.0,12.0,1.0,0.0,0.0,86
Jai Prakash Yadav,12,7,20.25,65.85,69.0,11.0,1.0,1.0,0.0,81
Sridharan Sriram,8,7,13.5,60.0,57.0,9.0,0.0,1.0,0.0,81
-,23,12,10.0,59.25,28.0,4.0,0.0,0.0,0.0,80
Umesh Yadav,75,24,7.9,58.95,18.0,8.0,1.0,0.0,0.0,79
S Badrinath,7,6,15.8,45.93,27.0,4.0,0.0,0.0,0.0,79
Yuzvendra Chahal,72,14,8.55,54.6,18.0,8.0,0.0,0.0,0.0,77
Munaf Patel,70,27,6.72,66.07,15.0,7.0,1.0,0.0,0.0,74
Ajit Wadekar,2,2,36.5,81.11,67.0,11.0,0.0,1.0,0.0,73
Ishant Sharma,80,28,4.8,35.46,13.0,6.0,0.0,0.0,0.0,72
Sadanand Viswanath,22,12,9.0,51.79,23.0,5.0,0.0,0.0,0.0,72
Tilak Varma,4,4,22.66,57.14,52.0,6.0,1.0,1.0,0.0,68
Mohammed Siraj,44,17,7.85,42.63,9.0,3.0,0.0,0.0,0.0,55
Rinku Singh,2,2,27.5,134.14,38.0,5.0,3.0,0.0,0.0,55
Faiz Fazal,1,1,0.0,90.16,55.0,7.0,1.0,1.0,0.0,55
Srinivas Venkataraghavan,15,9,10.8,42.85,26.0,3.0,0.0,0.0,0.0,54
Jatin Vasudeo Paranjape,4,4,18.0,59.34,27.0,3.0,1.0,0.0,0.0,54
Balwinder Sandhu,22,7,12.75,52.57,16.0,2.0,1.0,0.0,0.0,51
Cheteshwar Pujara,5,5,10.2,39.23,27.0,4.0,0.0,0.0,0.0,51
Deep Dasgupta,5,4,17.0,62.19,24.0,6.0,0.0,0.0,0.0,51
Abhimanyu Mithun,5,3,17.0,92.72,24.0,2.0,4.0,0.0,0.0,51
Maninder Singh,59,18,12.25,54.44,8.0,1.0,0.0,0.0,0.0,49
Subroto Banerjee,6,5,24.5,116.66,25.0,2.0,1.0,0.0,0.0,49
Saurabh Tiwary,3,2,0.0,87.5,37.0,5.0,1.0,0.0,0.0,49
Sarandeep Singh,5,4,15.66,64.38,19.0,6.0,0.0,0.0,0.0,47
Pragyan Ojha,18,10,23.0,41.07,16.0,3.0,0.0,0.0,0.0,46
Karun Nair,2,2,23.0,52.27,39.0,6.0,0.0,0.0,0.0,46
Sreesanth,53,21,4.0,36.36,10.0,2.0,0.0,0.0,0.0,44
Ashok Mankad,1,1,44.0,72.13,44.0,3.0,0.0,0.0,0.0,44
Amit Mishra,36,11,5.37,52.43,14.0,4.0,0.0,0.0,0.0,43
Aashish Kapoor,17,6,7.16,68.25,19.0,2.0,1.0,0.0,0.0,43
Shivam Dube,4,4,10.75,89.58,25.0,3.0,2.0,0.0,0.0,43
Wriddhiman Saha,9,5,13.66,73.21,16.0,5.0,0.0,0.0,0.0,41
Arshdeep Singh,9,6,7.8,111.42,18.0,1.0,3.0,0.0,0.0,39
Shiv Sunder Das,4,4,13.0,50.64,30.0,2.0,1.0,0.0,0.0,39
Piyush Chawla,25,12,5.42,65.51,13.0,3.0,0.0,0.0,0.0,38
Sudhir Sakharam Naik,2,2,19.0,55.88,20.0,3.0,0.0,0.0,0.0,38
Joginder Sharma,4,3,35.0,116.66,29.0,5.0,0.0,0.0,0.0,35
Salil Ankola,20,13,3.77,80.95,9.0,1.0,1.0,0.0,0.0,34
Raju Kulkarni,10,5,16.5,84.61,15.0,3.0,0.0,0.0,0.0,33
Atul Wassan,9,6,8.25,58.92,16.0,2.0,0.0,0.0,0.0,33
Venkatapathy Raju,53,16,4.0,47.76,8.0,1.0,0.0,0.0,0.0,32
Mohit Sharma,26,9,7.75,46.96,11.0,5.0,0.0,0.0,0.0,31
Bishan Singh Bedi,10,7,6.2,44.28,13.0,1.0,0.0,0.0,0.0,31
Debasis Mohanty,45,11,5.6,49.12,18.0,1.0,0.0,0.0,0.0,28
Dhawal Kulkarni,12,2,0.0,96.42,25.0,2.0,1.0,0.0,0.0,27
Eknath Dhondu Solkar,7,6,4.5,34.17,13.0,2.0,0.0,0.0,0.0,27
Abey Kuruvilla,25,11,3.71,60.46,7.0,1.0,1.0,0.0,0.0,26
Venkatesh Iyer,2,2,12.0,60.0,22.0,0.0,1.0,0.0,0.0,24
Sairaj Bahutule,8,4,7.66,79.31,11.0,2.0,0.0,0.0,0.0,23
Avesh Khan,8,4,7.66,79.31,10.0,2.0,1.0,0.0,0.0,23
