Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Noel David,4,2,0.00,90.00,8,-,-,-,-,9
Lalchand Rajput,4,4,3.00,29.03,8,-,-,-,-,9
Narendra Hirwani,18,7,2.00,27.58,4,-,-,-,-,8
Rahul Sanghvi,10,2,4.00,72.72,8,-,1,-,-,8
Varun Aaron,9,3,8.00,53.33,6,1,-,-,-,8
Vikram Singh,2,1,8.00,61.53,8,1,-,-,-,8
Sanjay Raul,2,2,4.00,57.14,8,-,-,-,-,8
Pankaj Dharmani,1,1,8.00,100.00,8,-,-,-,-,8
Paras Mhambrey,3,1,0.00,140.00,7,1,-,-,-,7
Tinu Yohannan,3,2,0.00,63.63,5,-,-,-,-,7
Nitish Rana,1,1,7.00,50.00,7,-,-,-,-,7
Ashok Patel,8,2,3.00,54.54,6,-,-,-,-,6
Utpal Subodh Chatterjee,3,2,6.00,20.00,3,-,-,-,-,6
Bhupinder Singh,2,1,6.00,46.15,6,-,-,-,-,6
Pochiah Krishnamurthy,1,1,6.00,46.15,6,-,-,-,-,6
Laxman Sivaramakrishnan,16,4,2.50,20.83,2,-,-,-,-,5
Aavishkar Salvi,4,3,2.00,28.57,4,-,-,-,-,4
Gyanendrakumar Kedarnath Pandey,2,2,4.00,36.36,4,-,-,-,-,4
Ramchandra Sudhakar Rao,1,1,4.00,28.57,4,-,-,-,-,4
Ravi Bishnoi,1,1,0.00,200.00,4,1,-,-,-,4
Gursharan Singh,1,1,4.00,40.00,4,-,-,-,-,4
Dodda Ganesh,1,1,4.00,50.00,4,-,-,-,-,4
Suru Nayak,4,1,3.00,15.78,3,-,-,-,-,3
Jayant Yadav,2,2,3.00,42.85,2,-,-,-,-,3
Pankaj Singh,1,1,0.00,100.00,3,-,-,-,-,3
Prasidh Krishna,17,7,1.00,11.76,2,-,-,-,-,2
Umran Malik,10,4,2.00,18.18,2,-,-,-,-,2
Saradindu Purnendu Mukherjee,3,1,0.00,100.00,2,-,-,-,-,2
Kuldeep Sen,1,1,0.00,50.00,2,-,-,-,-,2
Krishnappa Gowtham,1,1,2.00,66.66,2,-,-,-,-,2
Shivlal Yadav,7,2,0.00,6.25,1,-,-,-,-,1
Rajinder Singh Ghai,6,1,1.00,33.33,1,-,-,-,-,1
Yograj Singh,6,4,0.50,8.33,1,-,-,-,-,1
Rahul Sharma,4,1,1.00,50.00,1,-,-,-,-,1
Sudeep Tyagi,4,1,0.00,50.00,1,-,-,-,-,1
Siddarth Kaul,3,2,0.50,33.33,1,-,-,-,-,1
Naman Ojha,1,1,1.00,14.28,1,-,-,-,-,1
